,unix,symbol,open,high,low,close,Volume USD
0,2021-01-20 00:00:00,BCH/USD,507.92,515.9,501.47,514.51,117593.76
1,2021-01-19 23:00:00,BCH/USD,523.88,523.88,506.39,507.92,102440.02
2,2021-01-19 22:00:00,BCH/USD,522.09,526.75,520.97,526.26,154666.0
3,2021-01-19 21:00:00,BCH/USD,522.41,527.7,522.41,525.59,152425.77
4,2021-01-19 20:00:00,BCH/USD,517.54,524.05,515.04,523.13,107661.87
5,2021-01-19 19:00:00,BCH/USD,515.23,520.87,510.58,517.51,285620.87
6,2021-01-19 18:00:00,BCH/USD,534.38,534.38,514.0,514.51,406749.5
7,2021-01-19 17:00:00,BCH/USD,538.74,540.53,533.62,535.66,266406.87
8,2021-01-19 16:00:00,BCH/USD,542.99,553.13,534.49,535.68,1120359.66
9,2021-01-19 15:00:00,BCH/USD,527.4,540.0,523.03,540.0,174876.6
10,2021-01-19 14:00:00,BCH/USD,534.07,535.85,526.27,527.75,83399.7
11,2021-01-19 13:00:00,BCH/USD,522.4,535.08,522.4,533.74,171941.58
12,2021-01-19 12:00:00,BCH/USD,534.7,535.0,519.08,522.07,274532.08
13,2021-01-19 11:00:00,BCH/USD,525.61,533.84,523.48,533.75,512326.63
14,2021-01-19 10:00:00,BCH/USD,525.76,530.23,520.5,525.04,115400.32
15,2021-01-19 09:00:00,BCH/USD,528.81,530.42,523.67,525.16,221801.69
16,2021-01-19 08:00:00,BCH/USD,529.0,536.12,524.13,528.87,580169.82
17,2021-01-19 07:00:00,BCH/USD,520.82,529.59,518.46,528.48,235193.57
18,2021-01-19 06:00:00,BCH/USD,516.61,521.22,516.61,520.73,141385.68
19,2021-01-19 05:00:00,BCH/USD,514.24,520.26,514.24,516.96,91873.53
20,2021-01-19 04:00:00,BCH/USD,517.19,521.49,513.43,514.24,153190.09
21,2021-01-19 03:00:00,BCH/USD,526.0,528.15,516.61,516.96,313837.73
22,2021-01-19 02:00:00,BCH/USD,517.5,525.46,515.13,525.4,255833.13
23,2021-01-19 01:00:00,BCH/USD,507.98,525.41,507.98,516.18,1445333.36
24,2021-01-19 00:00:00,BCH/USD,509.17,512.9,502.9,505.83,308925.08
25,2021-01-18 23:00:00,BCH/USD,496.36,514.88,496.36,508.53,794911.87
26,2021-01-18 22:00:00,BCH/USD,493.16,496.31,493.16,496.31,76100.39
27,2021-01-18 21:00:00,BCH/USD,491.19,494.31,490.31,492.99,165486.58
28,2021-01-18 20:00:00,BCH/USD,489.49,491.58,488.12,490.75,121532.99
29,2021-01-18 19:00:00,BCH/USD,487.76,490.72,487.76,488.77,52099.13
30,2021-01-18 18:00:00,BCH/USD,484.26,488.61,484.0,487.93,53250.68
31,2021-01-18 17:00:00,BCH/USD,490.05,491.24,481.76,485.0,313958.6
32,2021-01-18 16:00:00,BCH/USD,499.95,500.27,486.15,490.52,124717.03
33,2021-01-18 15:00:00,BCH/USD,495.02,497.57,492.89,497.57,74189.06
34,2021-01-18 14:00:00,BCH/USD,497.88,504.02,487.46,493.87,571445.84
35,2021-01-18 13:00:00,BCH/USD,506.48,509.52,495.04,495.82,497827.43
36,2021-01-18 12:00:00,BCH/USD,480.57,507.77,480.55,507.28,304257.97
37,2021-01-18 11:00:00,BCH/USD,479.93,482.91,473.66,482.16,83341.27
38,2021-01-18 10:00:00,BCH/USD,483.88,483.88,479.4,479.7,94581.06
39,2021-01-18 09:00:00,BCH/USD,481.88,484.65,481.5,483.16,127524.2
40,2021-01-18 08:00:00,BCH/USD,478.87,482.01,478.53,479.65,94493.09
41,2021-01-18 07:00:00,BCH/USD,471.91,481.77,471.62,478.22,120962.02
42,2021-01-18 06:00:00,BCH/USD,475.91,476.52,471.54,472.66,144658.9
43,2021-01-18 05:00:00,BCH/USD,472.61,477.28,469.16,476.45,67485.92
44,2021-01-18 04:00:00,BCH/USD,472.74,476.0,470.0,472.84,58160.9
45,2021-01-18 03:00:00,BCH/USD,479.12,480.6,470.0,473.0,290948.32
46,2021-01-18 02:00:00,BCH/USD,489.11,489.6,478.49,480.0,49423.49
47,2021-01-18 01:00:00,BCH/USD,482.01,490.13,478.6,488.78,54176.12
48,2021-01-18 00:00:00,BCH/USD,479.99,483.0,476.94,482.38,66329.16
49,2021-01-17 23:00:00,BCH/USD,484.86,486.21,477.84,479.55,190057.66
50,2021-01-17 22:00:00,BCH/USD,490.34,490.34,482.93,484.52,97072.61
51,2021-01-17 21:00:00,BCH/USD,482.66,490.42,481.56,488.03,176772.29
52,2021-01-17 20:00:00,BCH/USD,477.22,482.35,476.33,482.27,81990.35
53,2021-01-17 19:00:00,BCH/USD,478.6,483.22,475.24,475.85,135642.74
54,2021-01-17 18:00:00,BCH/USD,481.62,481.62,477.85,478.53,26791.51
55,2021-01-17 17:00:00,BCH/USD,479.17,482.0,477.54,479.61,115770.96
56,2021-01-17 16:00:00,BCH/USD,479.19,482.02,475.0,479.23,199058.68
57,2021-01-17 15:00:00,BCH/USD,472.54,482.61,472.54,480.0,99101.68
58,2021-01-17 14:00:00,BCH/USD,472.1,474.59,468.55,471.82,130575.0
59,2021-01-17 13:00:00,BCH/USD,475.76,478.96,471.2,471.24,35199.52
60,2021-01-17 12:00:00,BCH/USD,479.38,479.79,474.61,475.91,321215.39
61,2021-01-17 11:00:00,BCH/USD,473.37,479.45,473.11,478.51,115852.9
62,2021-01-17 10:00:00,BCH/USD,464.17,475.98,461.57,474.14,141122.86
63,2021-01-17 09:00:00,BCH/USD,471.82,475.6,463.49,465.0,237633.53
64,2021-01-17 08:00:00,BCH/USD,470.94,471.45,465.52,468.56,171399.95
65,2021-01-17 07:00:00,BCH/USD,474.6,479.85,466.0,471.5,187095.62
66,2021-01-17 06:00:00,BCH/USD,476.21,479.94,471.57,475.0,196474.02
67,2021-01-17 05:00:00,BCH/USD,483.77,484.65,476.32,477.96,156486.24
68,2021-01-17 04:00:00,BCH/USD,488.0,490.11,483.4,484.9,35703.63
69,2021-01-17 03:00:00,BCH/USD,488.42,489.28,485.6,488.78,124203.8
70,2021-01-17 02:00:00,BCH/USD,493.78,494.66,487.44,488.92,153256.01
71,2021-01-17 01:00:00,BCH/USD,492.29,495.13,489.72,495.13,116096.89
72,2021-01-17 00:00:00,BCH/USD,489.98,494.78,482.22,493.98,236995.64
73,2021-01-16 23:00:00,BCH/USD,490.27,495.81,486.9,489.72,215109.64
74,2021-01-16 22:00:00,BCH/USD,487.26,491.25,481.0,491.25,117974.77
75,2021-01-16 21:00:00,BCH/USD,498.85,498.85,484.5,489.22,360244.32
76,2021-01-16 20:00:00,BCH/USD,495.97,500.99,495.15,499.02,251154.85
77,2021-01-16 19:00:00,BCH/USD,491.04,500.73,486.84,498.27,330950.3
78,2021-01-16 18:00:00,BCH/USD,498.1,502.61,488.24,490.16,335246.1
79,2021-01-16 17:00:00,BCH/USD,505.38,507.38,499.18,499.87,127532.42
80,2021-01-16 16:00:00,BCH/USD,507.58,515.19,500.12,505.65,548896.48
81,2021-01-16 15:00:00,BCH/USD,499.66,510.68,494.55,506.8,407996.18
82,2021-01-16 14:00:00,BCH/USD,501.5,501.75,491.82,498.61,244874.3
83,2021-01-16 13:00:00,BCH/USD,501.47,506.69,498.86,500.35,216735.21
84,2021-01-16 12:00:00,BCH/USD,504.85,512.28,493.77,500.26,521406.1
85,2021-01-16 11:00:00,BCH/USD,499.91,506.22,497.26,503.16,117253.38
86,2021-01-16 10:00:00,BCH/USD,497.08,504.04,495.73,499.35,1015764.23
87,2021-01-16 09:00:00,BCH/USD,494.16,496.15,491.2,494.43,87474.56
88,2021-01-16 08:00:00,BCH/USD,487.85,495.73,485.91,495.08,297449.64
89,2021-01-16 07:00:00,BCH/USD,482.07,491.21,482.07,487.0,285316.88
90,2021-01-16 06:00:00,BCH/USD,482.66,484.43,481.35,482.15,91304.36
91,2021-01-16 05:00:00,BCH/USD,485.39,485.75,473.42,480.64,139682.98
92,2021-01-16 04:00:00,BCH/USD,484.93,485.25,481.14,483.86,74479.94
93,2021-01-16 03:00:00,BCH/USD,478.8,486.63,476.65,485.7,310293.19
94,2021-01-16 02:00:00,BCH/USD,490.77,494.93,476.41,477.34,255095.02
95,2021-01-16 01:00:00,BCH/USD,489.29,498.02,487.59,490.77,131312.61
96,2021-01-16 00:00:00,BCH/USD,491.75,495.48,486.85,487.98,249213.11
97,2021-01-15 23:00:00,BCH/USD,482.62,493.5,481.77,493.5,369429.42
98,2021-01-15 22:00:00,BCH/USD,483.13,486.64,479.68,481.64,115283.46
99,2021-01-15 21:00:00,BCH/USD,479.07,484.62,475.8,482.78,193994.31
100,2021-01-15 20:00:00,BCH/USD,473.8,479.55,470.93,479.13,317520.62
101,2021-01-15 19:00:00,BCH/USD,473.74,481.2,472.23,473.67,152501.06
102,2021-01-15 18:00:00,BCH/USD,479.32,482.87,468.47,473.74,430508.74
103,2021-01-15 17:00:00,BCH/USD,480.47,480.66,470.97,479.01,351973.95
104,2021-01-15 16:00:00,BCH/USD,470.0,482.91,451.98,480.06,1252719.37
105,2021-01-15 15:00:00,BCH/USD,492.61,492.61,465.42,471.8,965009.5
