,unix,symbol,open,high,low,close,Volume USD
0,2021-01-20 00:00:00,BTC/USD,35888.13,36238.9,35664.85,36129.49,9127342.83
1,2021-01-19 23:00:00,BTC/USD,36667.9,36737.21,35888.0,35917.62,11179368.6
2,2021-01-19 22:00:00,BTC/USD,36460.0,36794.44,36355.81,36663.56,4286526.59
3,2021-01-19 21:00:00,BTC/USD,36443.82,36787.97,36417.99,36494.46,8286549.32
4,2021-01-19 20:00:00,BTC/USD,36269.21,36561.66,36111.41,36455.43,10407519.67
5,2021-01-19 19:00:00,BTC/USD,36446.95,36760.07,36055.85,36281.28,9112610.47
6,2021-01-19 18:00:00,BTC/USD,37179.83,37179.83,36446.95,36446.95,16491510.3
7,2021-01-19 17:00:00,BTC/USD,37390.03,37535.68,37050.0,37190.45,7106546.15
8,2021-01-19 16:00:00,BTC/USD,37340.0,37874.71,37200.0,37385.08,19161723.32
9,2021-01-19 15:00:00,BTC/USD,37027.93,37372.59,36838.59,37340.0,12772680.04
10,2021-01-19 14:00:00,BTC/USD,37149.16,37297.19,36925.99,37021.96,7315792.6
11,2021-01-19 13:00:00,BTC/USD,36808.3,37178.68,36808.3,37126.49,6001583.98
12,2021-01-19 12:00:00,BTC/USD,37327.79,37495.19,36662.3,36801.74,14599603.73
13,2021-01-19 11:00:00,BTC/USD,37141.38,37325.64,36880.0,37325.64,10948234.51
14,2021-01-19 10:00:00,BTC/USD,37108.82,37338.14,36794.44,37126.3,10141640.73
15,2021-01-19 09:00:00,BTC/USD,37242.48,37507.29,37060.0,37067.52,7286459.02
16,2021-01-19 08:00:00,BTC/USD,37227.82,37569.86,36917.39,37227.58,21672009.85
17,2021-01-19 07:00:00,BTC/USD,36675.85,37300.0,36544.69,37205.15,11840417.41
18,2021-01-19 06:00:00,BTC/USD,36284.33,36807.53,36239.12,36673.89,6626071.33
19,2021-01-19 05:00:00,BTC/USD,36359.82,36599.54,36192.32,36310.13,7440367.76
20,2021-01-19 04:00:00,BTC/USD,36526.82,36712.47,36302.24,36334.07,6530495.92
21,2021-01-19 03:00:00,BTC/USD,36858.65,36896.42,36486.85,36501.11,4529853.3
22,2021-01-19 02:00:00,BTC/USD,36938.18,37022.9,36640.0,36832.47,6327588.8
23,2021-01-19 01:00:00,BTC/USD,36701.82,37319.11,36670.49,36872.22,16361190.54
24,2021-01-19 00:00:00,BTC/USD,36665.82,36908.93,36411.04,36724.6,6038780.25
25,2021-01-18 23:00:00,BTC/USD,36493.89,36785.26,36300.67,36616.95,6298990.53
26,2021-01-18 22:00:00,BTC/USD,36238.24,36530.63,36191.63,36479.26,4010724.33
27,2021-01-18 21:00:00,BTC/USD,36130.01,36326.53,35994.04,36238.24,3911135.07
28,2021-01-18 20:00:00,BTC/USD,35986.68,36423.11,35830.42,36130.78,11074331.83
29,2021-01-18 19:00:00,BTC/USD,35783.96,36123.01,35697.89,35996.26,6195226.95
30,2021-01-18 18:00:00,BTC/USD,35704.6,35914.77,35575.0,35797.47,6718917.8
31,2021-01-18 17:00:00,BTC/USD,36220.91,36311.57,35431.61,35701.97,11766166.58
32,2021-01-18 16:00:00,BTC/USD,36444.8,36566.99,35850.02,36220.91,8729435.12
33,2021-01-18 15:00:00,BTC/USD,36444.07,36616.47,36152.46,36415.36,9516894.61
34,2021-01-18 14:00:00,BTC/USD,36782.22,36980.71,36095.14,36443.11,15728717.34
35,2021-01-18 13:00:00,BTC/USD,36980.37,37144.41,36706.29,36782.73,14130357.21
36,2021-01-18 12:00:00,BTC/USD,36444.28,37449.86,36384.38,37017.66,25220452.4
37,2021-01-18 11:00:00,BTC/USD,36213.31,36528.81,35780.0,36431.97,11098823.48
38,2021-01-18 10:00:00,BTC/USD,36552.1,36620.0,36095.14,36222.66,6110577.79
39,2021-01-18 09:00:00,BTC/USD,36203.37,36642.0,36195.9,36553.94,9125251.3
40,2021-01-18 08:00:00,BTC/USD,36101.18,36430.05,36066.86,36209.05,9297224.56
41,2021-01-18 07:00:00,BTC/USD,35164.58,36266.44,35160.13,36101.18,13847567.59
42,2021-01-18 06:00:00,BTC/USD,35364.36,35424.17,35071.03,35173.69,8362351.37
43,2021-01-18 05:00:00,BTC/USD,35116.68,35476.78,34777.85,35341.46,7219905.39
44,2021-01-18 04:00:00,BTC/USD,35092.98,35320.09,34895.0,35112.22,5582059.74
45,2021-01-18 03:00:00,BTC/USD,35762.33,35810.92,34851.0,35092.98,11257931.05
46,2021-01-18 02:00:00,BTC/USD,36144.0,36181.82,35679.3,35745.51,3520989.22
47,2021-01-18 01:00:00,BTC/USD,35962.98,36140.18,35613.28,36123.99,6655955.07
48,2021-01-18 00:00:00,BTC/USD,35826.36,36008.67,35572.0,35963.17,10722180.75
49,2021-01-17 23:00:00,BTC/USD,36167.89,36399.44,35664.3,35819.25,9131742.4
50,2021-01-17 22:00:00,BTC/USD,36546.14,36694.98,35986.58,36149.6,7123863.95
51,2021-01-17 21:00:00,BTC/USD,36090.0,36839.0,36090.0,36526.6,13721258.11
52,2021-01-17 20:00:00,BTC/USD,35651.24,36089.91,35561.82,36068.51,4172676.81
53,2021-01-17 19:00:00,BTC/USD,35680.0,35998.11,35516.92,35637.62,4088398.78
54,2021-01-17 18:00:00,BTC/USD,35836.35,35896.88,35613.77,35680.0,5270712.15
55,2021-01-17 17:00:00,BTC/USD,35942.52,36120.2,35579.4,35821.87,4410889.82
56,2021-01-17 16:00:00,BTC/USD,35756.52,36161.61,35600.93,35896.11,7308567.96
57,2021-01-17 15:00:00,BTC/USD,34786.91,35940.75,34783.42,35732.9,14741554.05
58,2021-01-17 14:00:00,BTC/USD,34896.95,35239.68,34700.0,34749.38,8926312.02
59,2021-01-17 13:00:00,BTC/USD,35120.13,35511.81,34801.03,34850.0,5624512.76
60,2021-01-17 12:00:00,BTC/USD,35302.42,35558.4,35005.9,35110.91,8344278.05
61,2021-01-17 11:00:00,BTC/USD,34817.78,35388.89,34742.88,35285.5,10616630.9
62,2021-01-17 10:00:00,BTC/USD,34151.05,35066.77,33833.55,34817.78,16195018.36
63,2021-01-17 09:00:00,BTC/USD,34692.61,35155.26,34000.0,34132.14,19414658.52
64,2021-01-17 08:00:00,BTC/USD,34763.95,34809.55,34290.0,34700.0,23543010.17
65,2021-01-17 07:00:00,BTC/USD,35387.09,35534.0,34528.49,34777.68,17838678.63
