,unix,symbol,open,high,low,close,Volume USD
0,2021-01-20 00:00:00,LTC/USD,151.89,155.02,150.94,154.42,202446.19
1,2021-01-19 23:00:00,LTC/USD,159.0,159.16,151.88,151.89,1788463.11
2,2021-01-19 22:00:00,LTC/USD,158.43,159.97,157.36,159.0,1718562.9
3,2021-01-19 21:00:00,LTC/USD,158.35,159.65,158.35,158.73,164034.47
4,2021-01-19 20:00:00,LTC/USD,156.5,158.65,156.03,158.44,352574.95
5,2021-01-19 19:00:00,LTC/USD,156.38,158.23,155.32,156.48,668602.7
6,2021-01-19 18:00:00,LTC/USD,160.26,160.36,155.78,156.18,732072.87
7,2021-01-19 17:00:00,LTC/USD,160.04,163.0,159.42,160.75,215863.19
8,2021-01-19 16:00:00,LTC/USD,162.15,164.67,159.6,159.6,319993.12
9,2021-01-19 15:00:00,LTC/USD,159.84,161.56,158.29,161.47,351916.25
10,2021-01-19 14:00:00,LTC/USD,162.85,163.5,159.1,159.89,354226.41
11,2021-01-19 13:00:00,LTC/USD,159.29,162.67,159.29,162.23,492737.51
12,2021-01-19 12:00:00,LTC/USD,164.37,164.43,157.43,159.1,702107.44
13,2021-01-19 11:00:00,LTC/USD,161.51,164.63,161.02,164.48,500861.95
14,2021-01-19 10:00:00,LTC/USD,161.92,163.16,159.58,161.2,323301.72
15,2021-01-19 09:00:00,LTC/USD,163.11,163.83,161.61,161.61,688968.16
16,2021-01-19 08:00:00,LTC/USD,164.71,166.07,162.3,163.2,1015516.89
17,2021-01-19 07:00:00,LTC/USD,159.18,165.24,157.83,164.34,823115.16
18,2021-01-19 06:00:00,LTC/USD,157.36,160.26,157.36,159.21,364078.35
19,2021-01-19 05:00:00,LTC/USD,157.04,159.49,157.04,157.77,282298.31
20,2021-01-19 04:00:00,LTC/USD,158.59,161.02,156.34,156.47,347172.92
21,2021-01-19 03:00:00,LTC/USD,159.21,160.48,157.71,158.92,614027.97
22,2021-01-19 02:00:00,LTC/USD,155.89,159.35,155.11,158.88,282025.06
23,2021-01-19 01:00:00,LTC/USD,151.21,158.1,151.16,155.68,1028471.99
24,2021-01-19 00:00:00,LTC/USD,152.53,153.2,150.36,150.93,263308.58
25,2021-01-18 23:00:00,LTC/USD,149.58,153.17,149.0,151.63,459495.23
26,2021-01-18 22:00:00,LTC/USD,149.4,149.7,148.75,149.22,266845.7
27,2021-01-18 21:00:00,LTC/USD,148.68,149.42,148.23,149.1,179482.83
28,2021-01-18 20:00:00,LTC/USD,149.02,149.5,148.12,148.65,258729.39
29,2021-01-18 19:00:00,LTC/USD,148.23,148.91,147.97,148.21,154285.96
30,2021-01-18 18:00:00,LTC/USD,147.48,148.79,147.16,148.23,260884.29
31,2021-01-18 17:00:00,LTC/USD,148.28,149.26,145.59,147.34,515826.06
32,2021-01-18 16:00:00,LTC/USD,151.37,152.88,147.94,148.23,285742.83
33,2021-01-18 15:00:00,LTC/USD,149.54,150.94,148.43,150.86,457108.49
34,2021-01-18 14:00:00,LTC/USD,151.19,152.37,147.56,149.53,2103487.4
35,2021-01-18 13:00:00,LTC/USD,154.3,154.68,151.31,151.56,1036135.64
36,2021-01-18 12:00:00,LTC/USD,141.91,154.72,141.72,154.15,1912031.06
37,2021-01-18 11:00:00,LTC/USD,141.01,142.06,139.9,141.65,191191.88
38,2021-01-18 10:00:00,LTC/USD,142.46,142.49,140.58,141.27,139828.0
39,2021-01-18 09:00:00,LTC/USD,143.23,143.86,141.47,142.26,176869.73
40,2021-01-18 08:00:00,LTC/USD,142.72,143.4,142.08,142.52,327980.71
41,2021-01-18 07:00:00,LTC/USD,139.34,143.16,139.28,142.6,605342.58
42,2021-01-18 06:00:00,LTC/USD,140.49,140.64,139.45,139.62,383788.16
43,2021-01-18 05:00:00,LTC/USD,139.39,140.74,138.5,140.74,570849.62
44,2021-01-18 04:00:00,LTC/USD,139.26,140.3,138.87,139.57,1220255.34
45,2021-01-18 03:00:00,LTC/USD,141.35,141.83,138.68,139.42,313745.06
46,2021-01-18 02:00:00,LTC/USD,144.23,144.23,141.0,141.2,51949.61
47,2021-01-18 01:00:00,LTC/USD,143.72,144.39,142.37,144.32,86379.96
48,2021-01-18 00:00:00,LTC/USD,142.93,143.54,141.93,143.48,487046.57
49,2021-01-17 23:00:00,LTC/USD,144.09,144.3,142.12,142.63,510330.37
50,2021-01-17 22:00:00,LTC/USD,145.49,145.53,143.05,143.8,278377.02
51,2021-01-17 21:00:00,LTC/USD,143.65,145.8,143.3,145.21,263358.92
52,2021-01-17 20:00:00,LTC/USD,142.07,143.57,142.07,143.57,97504.41
53,2021-01-17 19:00:00,LTC/USD,143.12,143.62,141.51,141.77,73382.75
54,2021-01-17 18:00:00,LTC/USD,143.0,143.27,142.36,142.36,53759.93
55,2021-01-17 17:00:00,LTC/USD,143.34,144.31,142.33,143.15,435740.95
56,2021-01-17 16:00:00,LTC/USD,142.4,143.54,141.07,143.21,80092.31
57,2021-01-17 15:00:00,LTC/USD,140.14,143.51,140.14,142.06,115699.69
58,2021-01-17 14:00:00,LTC/USD,139.69,141.27,139.09,140.01,81355.66
59,2021-01-17 13:00:00,LTC/USD,141.24,142.0,139.29,139.29,107933.07
60,2021-01-17 12:00:00,LTC/USD,142.54,142.76,140.95,141.15,179928.74
61,2021-01-17 11:00:00,LTC/USD,141.52,142.54,140.93,142.14,83158.8
62,2021-01-17 10:00:00,LTC/USD,137.38,142.4,136.36,141.41,252821.99
63,2021-01-17 09:00:00,LTC/USD,139.25,140.73,136.57,137.56,433485.9
64,2021-01-17 08:00:00,LTC/USD,139.01,140.05,137.83,139.13,337220.92
65,2021-01-17 07:00:00,LTC/USD,141.35,142.75,138.0,139.0,305473.28
66,2021-01-17 06:00:00,LTC/USD,141.47,142.36,140.16,141.51,98479.16
67,2021-01-17 05:00:00,LTC/USD,142.15,143.02,141.2,141.69,431661.86
68,2021-01-17 04:00:00,LTC/USD,143.91,144.83,142.12,142.42,228733.95
69,2021-01-17 03:00:00,LTC/USD,145.05,145.5,143.66,144.03,83293.37
70,2021-01-17 02:00:00,LTC/USD,147.0,147.0,144.59,145.33,118726.68
71,2021-01-17 01:00:00,LTC/USD,144.77,147.0,144.48,147.0,200383.42
72,2021-01-17 00:00:00,LTC/USD,143.43,145.9,141.09,145.09,429498.26
73,2021-01-16 23:00:00,LTC/USD,144.48,145.3,142.38,143.87,417196.97
74,2021-01-16 22:00:00,LTC/USD,143.34,144.72,141.08,144.64,250923.19
75,2021-01-16 21:00:00,LTC/USD,147.18,147.18,142.22,144.05,262453.34
76,2021-01-16 20:00:00,LTC/USD,145.74,147.63,145.3,147.04,123193.88
77,2021-01-16 19:00:00,LTC/USD,144.78,146.33,143.38,145.75,208288.63
78,2021-01-16 18:00:00,LTC/USD,147.0,148.17,144.56,144.66,208828.29
79,2021-01-16 17:00:00,LTC/USD,148.72,149.22,146.7,147.11,214295.63
80,2021-01-16 16:00:00,LTC/USD,150.25,152.57,147.3,148.92,461225.14
81,2021-01-16 15:00:00,LTC/USD,147.88,150.11,146.73,149.91,250467.05
82,2021-01-16 14:00:00,LTC/USD,147.91,148.66,145.69,147.47,232211.62
83,2021-01-16 13:00:00,LTC/USD,148.93,150.68,147.53,147.66,183344.81
84,2021-01-16 12:00:00,LTC/USD,149.22,151.64,145.7,148.35,677304.7
85,2021-01-16 11:00:00,LTC/USD,146.96,149.9,146.29,149.17,228434.6
86,2021-01-16 10:00:00,LTC/USD,146.32,148.05,145.51,146.86,267172.72
87,2021-01-16 09:00:00,LTC/USD,146.41,146.73,145.19,145.96,249567.48
88,2021-01-16 08:00:00,LTC/USD,143.23,147.09,142.79,146.64,282174.98
89,2021-01-16 07:00:00,LTC/USD,141.92,143.94,141.44,143.18,122688.47
90,2021-01-16 06:00:00,LTC/USD,141.23,142.85,141.02,141.69,164063.1
91,2021-01-16 05:00:00,LTC/USD,142.99,142.99,139.42,141.01,135814.06
92,2021-01-16 04:00:00,LTC/USD,143.77,143.8,142.01,142.98,96827.01
93,2021-01-16 03:00:00,LTC/USD,141.86,143.98,141.6,143.71,97187.78
94,2021-01-16 02:00:00,LTC/USD,144.24,144.63,141.57,141.75,276767.94
95,2021-01-16 01:00:00,LTC/USD,145.11,146.33,143.74,144.19,246060.36
96,2021-01-16 00:00:00,LTC/USD,143.62,146.4,143.62,144.66,288152.27
97,2021-01-15 23:00:00,LTC/USD,142.26,144.88,141.95,144.2,202161.83
98,2021-01-15 22:00:00,LTC/USD,141.2,142.62,140.15,142.6,112989.86
99,2021-01-15 21:00:00,LTC/USD,140.04,141.81,139.02,141.22,365054.09
100,2021-01-15 20:00:00,LTC/USD,138.69,140.16,136.68,139.89,526976.72
101,2021-01-15 19:00:00,LTC/USD,140.5,141.36,138.78,138.78,286552.53
102,2021-01-15 18:00:00,LTC/USD,140.64,141.78,137.77,140.02,623407.62
103,2021-01-15 17:00:00,LTC/USD,140.14,140.65,137.31,140.65,529203.03
104,2021-01-15 16:00:00,LTC/USD,137.29,141.27,130.53,140.43,2341374.44
105,2021-01-15 15:00:00,LTC/USD,145.81,145.81,136.54,137.55,1989587.92
106,2021-01-15 14:00:00,LTC/USD,150.41,150.83,144.44,145.99,1034931.41
107,2021-01-15 13:00:00,LTC/USD,148.28,150.0,146.69,150.0,349968.54
108,2021-01-15 12:00:00,LTC/USD,149.5,149.5,146.0,148.25,230470.78
109,2021-01-15 11:00:00,LTC/USD,150.55,150.55,148.55,149.11,185625.45
110,2021-01-15 10:00:00,LTC/USD,151.48,151.56,149.32,150.18,315409.05
111,2021-01-15 09:00:00,LTC/USD,149.19,151.94,148.0,151.48,140110.09
112,2021-01-15 08:00:00,LTC/USD,150.66,151.64,149.02,149.35,416586.57
113,2021-01-15 07:00:00,LTC/USD,148.69,151.0,147.11,149.84,605955.61
114,2021-01-15 06:00:00,LTC/USD,146.44,148.89,146.43,148.6,201192.57
115,2021-01-15 05:00:00,LTC/USD,149.11,151.51,146.47,146.59,134301.44
116,2021-01-15 04:00:00,LTC/USD,149.99,150.21,147.97,149.45,143520.58
117,2021-01-15 03:00:00,LTC/USD,153.0,153.0,148.5,150.0,841515.72
118,2021-01-15 02:00:00,LTC/USD,150.99,153.61,150.99,153.03,203206.31
119,2021-01-15 01:00:00,LTC/USD,153.91,155.45,151.64,152.07,456453.93
120,2021-01-15 00:00:00,LTC/USD,152.5,154.98,151.64,153.74,166316.92
121,2021-01-14 23:00:00,LTC/USD,149.84,152.78,149.84,152.78,218379.45
122,2021-01-14 22:00:00,LTC/USD,149.9,150.33,147.74,150.25,277568.67
123,2021-01-14 21:00:00,LTC/USD,152.0,152.09,145.69,149.84,1335830.37
124,2021-01-14 20:00:00,LTC/USD,154.69,154.69,151.72,152.0,250337.8
125,2021-01-14 19:00:00,LTC/USD,153.36,154.61,153.15,154.48,110086.84
126,2021-01-14 18:00:00,LTC/USD,153.31,154.34,152.66,152.97,283731.57
127,2021-01-14 17:00:00,LTC/USD,153.0,154.93,153.0,153.0,309312.31
128,2021-01-14 16:00:00,LTC/USD,153.24,156.94,152.6,152.6,586146.58
129,2021-01-14 15:00:00,LTC/USD,153.58,154.67,151.86,152.87,891271.86
130,2021-01-14 14:00:00,LTC/USD,152.36,155.54,151.16,153.75,1014253.31
131,2021-01-14 13:00:00,LTC/USD,146.73,152.61,146.4,152.19,986516.37
132,2021-01-14 12:00:00,LTC/USD,147.59,148.01,145.0,146.75,507545.07
133,2021-01-14 11:00:00,LTC/USD,148.06,148.81,146.1,147.58,183327.19
134,2021-01-14 10:00:00,LTC/USD,145.6,148.05,145.6,147.8,205671.09
135,2021-01-14 09:00:00,LTC/USD,148.52,148.72,145.43,145.93,593592.38
136,2021-01-14 08:00:00,LTC/USD,148.32,151.0,147.84,148.37,1409780.28
137,2021-01-14 07:00:00,LTC/USD,147.29,150.52,146.85,148.34,436069.07
138,2021-01-14 06:00:00,LTC/USD,146.08,148.63,146.0,147.23,1053022.22
