,unix,symbol,open,high,low,close,Volume USD
0,2021-01-20,BCH/USD,507.92,512.9,501.47,512.18,107084.17
1,2021-01-19,BCH/USD,509.17,553.13,502.9,507.92,7440278.34
2,2021-01-18,BCH/USD,479.99,514.88,469.16,508.53,4550412.94
3,2021-01-17,BCH/USD,489.98,495.13,461.57,479.55,3486055.92
4,2021-01-16,BCH/USD,491.75,515.19,473.42,489.72,6658097.67
5,2021-01-15,BCH/USD,527.96,535.0,451.98,493.5,10293941.66
6,2021-01-14,BCH/USD,499.11,539.0,484.16,527.88,10406639.95
7,2021-01-13,BCH/USD,451.8,501.0,434.14,497.03,11933429.03
8,2021-01-12,BCH/USD,478.27,511.98,443.26,452.01,20907174.83
9,2021-01-11,BCH/USD,602.64,602.64,398.8,478.89,38841771.21
10,2021-01-10,BCH/USD,577.94,631.71,546.01,600.59,45859672.14
11,2021-01-09,BCH/USD,439.34,591.47,418.43,578.11,30948801.17
12,2021-01-08,BCH/USD,450.37,458.77,404.65,437.78,13642144.11
13,2021-01-07,BCH/USD,455.69,484.24,425.62,448.98,12370837.29
14,2021-01-06,BCH/USD,420.57,459.11,411.71,454.35,13619721.28
15,2021-01-05,BCH/USD,409.08,426.22,380.21,420.05,11009975.18
16,2021-01-04,BCH/USD,425.2,467.67,377.0,406.28,19000249.4
17,2021-01-03,BCH/USD,354.9,434.54,354.65,423.71,16158506.38
18,2021-01-02,BCH/USD,342.86,368.84,334.39,354.45,6849441.54
19,2021-01-01,BCH/USD,342.74,355.93,332.0,342.5,2721468.06
20,2020-12-31,BCH/USD,358.68,361.16,334.32,342.28,5199176.01
21,2020-12-30,BCH/USD,353.0,366.34,342.12,359.31,6132014.44
22,2020-12-29,BCH/USD,360.35,365.56,330.26,351.85,6701357.33
23,2020-12-28,BCH/USD,335.6,376.67,333.83,360.45,8258912.44
24,2020-12-27,BCH/USD,323.0,366.38,307.08,337.37,13180978.23
25,2020-12-26,BCH/USD,319.16,332.0,308.09,323.06,5713644.46
26,2020-12-25,BCH/USD,297.55,325.0,293.33,318.62,8385006.47
27,2020-12-24,BCH/USD,274.27,299.17,270.63,296.99,5233875.1
28,2020-12-23,BCH/USD,323.34,326.37,266.55,275.48,10989534.53
29,2020-12-22,BCH/USD,314.92,324.73,298.61,323.8,4678620.39
30,2020-12-21,BCH/USD,346.83,380.0,304.74,313.42,13562331.59
31,2020-12-20,BCH/USD,317.88,368.2,310.49,349.93,18909967.21
32,2020-12-19,BCH/USD,314.38,325.64,309.68,318.7,2433949.73
33,2020-12-18,BCH/USD,311.0,322.85,305.0,313.5,2987945.86
34,2020-12-17,BCH/USD,312.1,331.69,300.62,310.78,10141240.31
35,2020-12-16,BCH/USD,289.0,315.98,282.0,312.93,6040862.82
36,2020-12-15,BCH/USD,276.89,299.25,270.99,288.66,4738496.26
37,2020-12-14,BCH/USD,274.39,280.15,264.64,276.37,1205747.74
