,unix,symbol,open,high,low,close,Volume USD
0,2021-01-20,ETH/USD,1368.05,1396.12,1356.06,1391.15,1012837.58
1,2021-01-19,ETH/USD,1258.64,1440.0,1251.49,1369.62,245429004.69
2,2021-01-18,ETH/USD,1233.23,1261.3,1182.8,1257.86,115869069.35
3,2021-01-17,ETH/USD,1226.44,1268.87,1166.08,1232.95,114684803.78
4,2021-01-16,ETH/USD,1169.71,1293.18,1152.51,1228.19,143139081.8
5,2021-01-15,ETH/USD,1233.84,1255.52,1059.55,1170.93,191733878.91
6,2021-01-14,ETH/USD,1130.42,1246.54,1086.69,1233.01,138992587.63
7,2021-01-13,ETH/USD,1048.9,1137.09,985.29,1130.76,138022813.61
8,2021-01-12,ETH/USD,1086.46,1152.0,1005.04,1048.42,143007474.9
9,2021-01-11,ETH/USD,1258.23,1258.23,911.0,1087.82,426414995.18
10,2021-01-10,ETH/USD,1282.4,1352.85,1146.34,1256.0,199188344.45
11,2021-01-09,ETH/USD,1219.76,1309.98,1171.88,1280.11,147892101.18
12,2021-01-08,ETH/USD,1229.76,1275.74,1065.0,1217.84,297541959.2
13,2021-01-07,ETH/USD,1213.21,1291.0,1150.0,1226.56,268296687.59
14,2021-01-06,ETH/USD,1102.97,1215.0,1059.73,1212.85,266121684.18
15,2021-01-05,ETH/USD,1045.65,1136.0,975.0,1102.97,333408942.51
16,2021-01-04,ETH/USD,980.23,1169.97,890.0,1042.95,333451263.07
17,2021-01-03,ETH/USD,775.4,1014.7,769.95,979.33,250918144.04
18,2021-01-02,ETH/USD,731.99,788.82,717.0,775.59,78902426.79
19,2021-01-01,ETH/USD,737.5,750.34,716.24,731.18,49141143.21
20,2020-12-31,ETH/USD,753.31,755.9,722.35,737.24,54023730.2
21,2020-12-30,ETH/USD,733.57,758.5,716.83,752.71,77748721.28
22,2020-12-29,ETH/USD,729.31,739.81,688.98,731.8,51004809.82
23,2020-12-28,ETH/USD,683.85,747.0,680.67,729.63,102010132.05
24,2020-12-27,ETH/USD,638.0,714.99,624.49,683.6,103617767.66
25,2020-12-26,ETH/USD,626.82,652.73,615.5,636.49,37110690.74
26,2020-12-25,ETH/USD,613.25,633.47,604.2,626.78,37956208.01
27,2020-12-24,ETH/USD,584.86,614.95,565.67,612.23,29876924.82
28,2020-12-23,ETH/USD,637.22,638.8,550.0,585.43,57247270.21
29,2020-12-22,ETH/USD,608.39,638.19,587.59,637.23,64968303.34
30,2020-12-21,ETH/USD,637.88,648.16,595.22,607.77,74900693.46
31,2020-12-20,ETH/USD,658.92,661.39,621.55,638.49,31279617.95
32,2020-12-19,ETH/USD,655.0,671.0,645.97,658.71,58810455.74
33,2020-12-18,ETH/USD,644.67,664.42,628.6,655.0,55247183.16
34,2020-12-17,ETH/USD,638.45,676.94,625.86,643.71,118613288.77
35,2020-12-16,ETH/USD,589.12,639.92,581.0,638.31,80872611.95
36,2020-12-15,ETH/USD,586.49,597.61,579.0,589.04,20363116.24
37,2020-12-14,ETH/USD,590.5,591.64,575.59,586.17,28256494.3
38,2020-12-13,ETH/USD,568.07,595.0,563.68,590.71,26579739.47
39,2020-12-12,ETH/USD,543.38,574.52,543.38,568.2,27436697.72
40,2020-12-11,ETH/USD,559.57,560.05,535.03,543.76,85291363.65
41,2020-12-10,ETH/USD,573.75,574.9,548.38,558.11,34316615.99
42,2020-12-09,ETH/USD,554.59,577.91,530.36,573.44,97630774.98
43,2020-12-08,ETH/USD,591.66,595.45,548.68,554.72,62042823.48
44,2020-12-07,ETH/USD,602.98,602.98,584.71,591.65,18977823.39
45,2020-12-06,ETH/USD,598.0,607.41,583.5,602.47,20636757.91
46,2020-12-05,ETH/USD,567.21,597.91,561.0,597.16,23041266.15
47,2020-12-04,ETH/USD,616.26,620.92,565.83,567.78,76043695.57
48,2020-12-03,ETH/USD,596.45,624.36,586.0,616.74,58071240.45
49,2020-12-02,ETH/USD,585.69,604.99,575.24,598.2,68890495.24
50,2020-12-01,ETH/USD,617.0,636.93,562.74,586.16,77415291.09
51,2020-11-30,ETH/USD,576.97,617.0,570.76,617.0,55106894.77
