,unix,symbol,open,high,low,close,Volume USD
0,2021-01-20,LTC/USD,151.89,154.33,150.94,154.33,139458.81
1,2021-01-19,LTC/USD,152.53,166.07,150.36,151.89,13795368.61
2,2021-01-18,LTC/USD,142.93,154.72,138.5,151.63,12830687.66
3,2021-01-17,LTC/USD,143.43,147.0,136.36,142.63,5300551.4
4,2021-01-16,LTC/USD,143.62,152.57,139.42,143.87,5861358.11
5,2021-01-15,LTC/USD,152.5,155.45,130.53,144.2,12443792.81
6,2021-01-14,LTC/USD,147.86,156.94,143.7,152.78,12706193.43
7,2021-01-13,LTC/USD,133.44,148.5,125.98,147.79,14715950.68
8,2021-01-12,LTC/USD,138.71,146.8,127.71,133.09,20718290.1
9,2021-01-11,LTC/USD,170.35,170.62,112.31,138.93,40860829.88
10,2021-01-10,LTC/USD,177.98,186.41,160.0,170.7,35982551.88
11,2021-01-09,LTC/USD,173.05,179.69,163.51,177.96,20621739.76
12,2021-01-08,LTC/USD,170.23,181.77,150.22,172.52,50212529.92
13,2021-01-07,LTC/USD,169.6,181.34,160.87,169.94,34935737.99
14,2021-01-06,LTC/USD,159.43,170.01,155.26,169.65,29748212.35
15,2021-01-05,LTC/USD,155.99,163.32,146.68,158.8,19812226.96
16,2021-01-04,LTC/USD,162.0,174.23,139.15,155.06,39502564.74
17,2021-01-03,LTC/USD,137.12,164.82,135.5,160.8,29847365.74
18,2021-01-02,LTC/USD,125.98,142.0,123.54,136.88,19240464.44
19,2021-01-01,LTC/USD,124.52,134.05,123.23,126.32,10491375.36
20,2020-12-31,LTC/USD,130.29,130.44,122.09,124.36,9697338.71
21,2020-12-30,LTC/USD,128.79,133.0,122.52,130.15,17680670.58
22,2020-12-29,LTC/USD,129.78,130.63,119.76,128.84,10377560.98
23,2020-12-28,LTC/USD,127.59,137.23,126.15,129.73,14844860.43
24,2020-12-27,LTC/USD,129.61,139.41,119.88,127.83,45943807.29
25,2020-12-26,LTC/USD,127.88,135.12,124.89,129.5,28741359.69
26,2020-12-25,LTC/USD,111.17,128.4,108.29,127.29,21298738.03
27,2020-12-24,LTC/USD,102.46,112.25,98.57,111.83,18832087.2
28,2020-12-23,LTC/USD,114.77,117.24,94.44,102.6,35888380.27
29,2020-12-22,LTC/USD,104.7,114.52,98.37,114.5,38988827.96
30,2020-12-21,LTC/USD,114.5,118.68,100.37,104.62,25892937.02
31,2020-12-20,LTC/USD,119.99,123.22,109.77,114.81,26973983.53
32,2020-12-19,LTC/USD,109.52,124.5,105.46,119.95,15639663.75
33,2020-12-18,LTC/USD,101.43,112.69,99.32,109.33,20108432.53
34,2020-12-17,LTC/USD,93.02,110.09,90.37,101.07,24738492.26
35,2020-12-16,LTC/USD,81.42,93.3,78.29,93.01,15904233.4
36,2020-12-15,LTC/USD,82.44,84.8,80.17,81.31,4891857.04
37,2020-12-14,LTC/USD,81.9,82.96,79.22,82.48,4985019.73
38,2020-12-13,LTC/USD,76.72,84.32,75.63,82.08,4163335.35
39,2020-12-12,LTC/USD,72.12,77.62,72.12,76.58,3857355.05
40,2020-12-11,LTC/USD,74.85,74.87,69.9,72.24,6602039.24
41,2020-12-10,LTC/USD,77.52,77.61,73.2,74.78,3825308.94
42,2020-12-09,LTC/USD,76.69,78.18,72.01,77.44,10695543.2
43,2020-12-08,LTC/USD,83.4,84.8,75.39,76.8,11032296.16
44,2020-12-07,LTC/USD,83.85,86.79,81.74,83.5,6553653.49
45,2020-12-06,LTC/USD,83.22,85.17,80.4,83.83,4024161.55
46,2020-12-05,LTC/USD,79.62,84.36,78.75,83.18,7414763.0
47,2020-12-04,LTC/USD,88.66,89.82,77.95,80.05,9422177.54
48,2020-12-03,LTC/USD,88.95,91.32,85.53,89.14,11501902.85
49,2020-12-02,LTC/USD,85.02,90.74,82.75,89.06,25357574.64
50,2020-12-01,LTC/USD,87.81,93.0,78.39,85.22,20309933.32
51,2020-11-30,LTC/USD,79.24,88.5,76.69,87.66,17386553.1
52,2020-11-29,LTC/USD,72.83,81.07,71.61,78.98,7262960.63
53,2020-11-28,LTC/USD,69.31,75.0,68.39,72.55,9887635.54
54,2020-11-27,LTC/USD,71.29,73.63,65.29,69.09,10467178.41
55,2020-11-26,LTC/USD,81.6,83.19,64.5,71.0,14034631.12
56,2020-11-25,LTC/USD,89.54,90.53,78.01,81.72,9062494.3
57,2020-11-24,LTC/USD,89.22,94.0,85.4,89.33,15085195.98
58,2020-11-23,LTC/USD,82.88,90.93,80.96,89.22,16539152.14
59,2020-11-22,LTC/USD,87.05,87.99,77.13,82.94,10637028.78
60,2020-11-21,LTC/USD,82.66,88.55,80.22,87.2,11373894.25
61,2020-11-20,LTC/USD,81.51,85.76,80.13,82.52,8902086.52
62,2020-11-19,LTC/USD,73.82,84.0,71.29,81.66,13266504.25
63,2020-11-18,LTC/USD,76.5,77.18,68.19,73.82,8240319.92
64,2020-11-17,LTC/USD,73.58,77.06,71.47,76.44,10547166.39
65,2020-11-16,LTC/USD,62.23,74.58,62.21,73.89,10560274.24
66,2020-11-15,LTC/USD,63.71,64.48,61.14,62.36,2318150.58
67,2020-11-14,LTC/USD,66.24,66.24,61.77,63.99,4195074.94
68,2020-11-13,LTC/USD,60.74,66.67,60.25,65.85,9617483.12
69,2020-11-12,LTC/USD,59.2,60.81,57.76,60.74,3689578.89
70,2020-11-11,LTC/USD,58.09,60.69,57.9,59.29,3187402.98
71,2020-11-10,LTC/USD,59.24,59.63,57.13,57.92,4598809.91
72,2020-11-09,LTC/USD,61.02,61.85,57.47,59.28,3776848.46
73,2020-11-08,LTC/USD,58.88,62.02,58.71,61.06,2474668.54
74,2020-11-07,LTC/USD,63.37,64.83,57.08,59.0,8682769.71
75,2020-11-06,LTC/USD,59.12,63.76,58.67,63.39,6296298.05
76,2020-11-05,LTC/USD,55.07,59.79,54.75,58.96,6009319.4
77,2020-11-04,LTC/USD,54.09,55.21,51.64,54.72,3111513.86
78,2020-11-03,LTC/USD,53.81,54.4,51.27,53.92,2017710.31
79,2020-11-02,LTC/USD,55.74,56.78,53.1,53.92,2535316.05
80,2020-11-01,LTC/USD,55.69,56.07,54.26,55.6,546614.07
81,2020-10-31,LTC/USD,53.82,56.45,53.71,55.74,3299666.84
82,2020-10-30,LTC/USD,54.83,55.77,52.33,54.07,2138738.97
83,2020-10-29,LTC/USD,55.81,56.55,53.41,54.91,2196553.81
84,2020-10-28,LTC/USD,57.71,60.55,54.74,55.95,3874502.17
85,2020-10-27,LTC/USD,56.88,59.3,56.63,57.95,3081184.48
86,2020-10-26,LTC/USD,58.6,59.3,54.99,56.92,2720625.86
87,2020-10-25,LTC/USD,59.0,60.02,56.6,58.84,2446243.47
88,2020-10-24,LTC/USD,55.22,59.68,55.08,59.26,3360962.42
89,2020-10-23,LTC/USD,54.36,57.0,53.18,55.43,2694455.46
90,2020-10-22,LTC/USD,53.39,56.36,53.39,54.54,3607873.24
91,2020-10-21,LTC/USD,46.9,55.01,46.9,53.24,5216124.97
92,2020-10-20,LTC/USD,47.94,48.4,46.46,46.89,1359580.22
93,2020-10-19,LTC/USD,47.57,48.46,46.84,48.01,863554.36
94,2020-10-18,LTC/USD,46.86,47.97,46.85,47.6,603165.76
95,2020-10-17,LTC/USD,47.65,47.65,46.33,46.89,781960.89
96,2020-10-16,LTC/USD,49.36,49.88,45.55,47.59,2306251.63
97,2020-10-15,LTC/USD,49.75,50.26,48.88,49.47,1017277.26
98,2020-10-14,LTC/USD,49.92,51.06,49.31,49.84,830439.36
99,2020-10-13,LTC/USD,50.63,50.75,48.85,49.87,1215826.73
100,2020-10-12,LTC/USD,50.41,51.6,49.39,50.67,1714982.49
101,2020-10-11,LTC/USD,48.94,51.23,48.85,50.55,955854.44
102,2020-10-10,LTC/USD,47.88,50.49,47.8,48.8,1513587.07
103,2020-10-09,LTC/USD,47.2,48.22,46.61,47.82,876008.94
104,2020-10-08,LTC/USD,46.61,47.5,45.46,47.28,1430096.7
105,2020-10-07,LTC/USD,45.96,46.92,45.02,46.62,768014.74
106,2020-10-06,LTC/USD,46.42,48.23,45.58,46.01,2227082.6
107,2020-10-05,LTC/USD,46.77,47.04,45.56,46.37,501951.02
108,2020-10-04,LTC/USD,45.59,47.04,45.31,46.71,383288.12
109,2020-10-03,LTC/USD,44.85,45.99,44.76,45.53,572770.45
110,2020-10-02,LTC/USD,46.2,46.9,43.21,44.94,1597830.87
111,2020-10-01,LTC/USD,46.24,48.49,45.02,46.27,2560336.12
112,2020-09-30,LTC/USD,45.6,46.66,45.43,46.21,805462.88
113,2020-09-29,LTC/USD,45.09,45.83,44.94,45.71,706114.77
114,2020-09-28,LTC/USD,46.15,47.12,44.81,45.26,1052219.35
115,2020-09-27,LTC/USD,46.06,46.61,44.64,46.02,818337.89
116,2020-09-26,LTC/USD,46.07,46.53,45.16,46.03,472989.0
117,2020-09-25,LTC/USD,44.97,46.56,43.94,45.9,1787348.16
118,2020-09-24,LTC/USD,42.93,45.29,42.6,44.97,1484445.03
119,2020-09-23,LTC/USD,44.44,45.07,42.27,42.92,1287471.29
120,2020-09-22,LTC/USD,43.16,44.82,42.78,44.45,1348529.58
121,2020-09-21,LTC/USD,46.9,47.63,41.59,43.18,2925238.59
122,2020-09-20,LTC/USD,48.52,48.54,46.2,47.11,1275126.6
123,2020-09-19,LTC/USD,48.54,49.0,48.0,48.58,812219.92
124,2020-09-18,LTC/USD,48.88,49.06,47.49,48.45,1886526.84
125,2020-09-17,LTC/USD,47.75,49.64,47.75,48.88,1841050.01
126,2020-09-16,LTC/USD,48.1,48.78,47.0,47.74,2089324.31
127,2020-09-15,LTC/USD,49.21,50.36,48.2,48.32,2176528.69
128,2020-09-14,LTC/USD,48.18,49.68,47.17,49.1,2283349.25
129,2020-09-13,LTC/USD,50.79,50.84,47.26,48.11,1822923.91
130,2020-09-12,LTC/USD,48.99,51.31,48.44,50.86,2064847.88
