,unix,symbol,open,high,low,close,Volume USD
0,2021-01-20 06:18:00,BTC/USD,35400.08,35405.36,35360.53,35393.78,137864.61
1,2021-01-20 06:16:00,BTC/USD,35419.66,35503.0,35409.72,35423.83,112898.77
2,2021-01-20 06:15:00,BTC/USD,35465.0,35469.83,35417.87,35427.86,122100.59
3,2021-01-20 06:14:00,BTC/USD,35435.87,35511.36,35435.87,35465.0,113730.74
4,2021-01-20 06:13:00,BTC/USD,35423.85,35456.9,35400.36,35434.48,292655.1
5,2021-01-20 06:12:00,BTC/USD,35509.56,35509.66,35414.74,35423.85,89595.45
6,2021-01-20 06:11:00,BTC/USD,35457.51,35523.34,35457.51,35497.75,102671.4
7,2021-01-20 06:10:00,BTC/USD,35523.58,35523.58,35455.97,35459.17,70005.48
8,2021-01-20 06:09:00,BTC/USD,35513.09,35569.04,35502.85,35531.19,241325.11
9,2021-01-20 06:08:00,BTC/USD,35534.32,35534.32,35489.56,35513.09,108583.79
10,2021-01-20 06:07:00,BTC/USD,35492.2,35579.4,35478.6,35539.04,2224940.26
11,2021-01-20 06:06:00,BTC/USD,35486.0,35512.08,35469.98,35488.43,665978.11
12,2021-01-20 06:05:00,BTC/USD,35467.35,35508.36,35467.35,35503.23,44302.72
13,2021-01-20 06:04:00,BTC/USD,35472.75,35472.75,35447.98,35459.52,39700.31
14,2021-01-20 06:03:00,BTC/USD,35433.03,35458.94,35433.03,35441.42,85505.75
15,2021-01-20 06:02:00,BTC/USD,35457.93,35471.49,35442.78,35442.78,673775.05
16,2021-01-20 06:01:00,BTC/USD,35488.81,35493.1,35449.04,35457.93,78084.83
17,2021-01-20 06:00:00,BTC/USD,35489.41,35506.07,35455.15,35490.35,203900.16
18,2021-01-20 05:59:00,BTC/USD,35513.56,35513.56,35501.65,35509.83,110946.5
19,2021-01-20 05:58:00,BTC/USD,35502.23,35521.78,35470.7,35513.56,309270.32
20,2021-01-20 05:57:00,BTC/USD,35462.37,35507.99,35458.54,35507.27,122227.88
21,2021-01-20 05:56:00,BTC/USD,35442.19,35478.58,35437.72,35458.98,69496.27
22,2021-01-20 05:55:00,BTC/USD,35462.01,35483.22,35446.63,35446.63,55754.51
23,2021-01-20 05:54:00,BTC/USD,35371.24,35479.04,35371.24,35463.79,123062.9
24,2021-01-20 05:53:00,BTC/USD,35345.41,35376.79,35324.3,35371.24,106482.43
25,2021-01-20 05:52:00,BTC/USD,35378.51,35407.66,35342.54,35342.54,110074.71
26,2021-01-20 05:51:00,BTC/USD,35386.22,35390.88,35370.0,35376.12,86700.1
27,2021-01-20 05:50:00,BTC/USD,35392.33,35406.72,35342.5,35406.72,87768.21
28,2021-01-20 05:49:00,BTC/USD,35380.48,35420.82,35380.48,35393.45,32201.82
29,2021-01-20 05:48:00,BTC/USD,35345.52,35376.71,35339.39,35376.71,32058.74
