,unix,symbol,open,high,low,close,Volume USD
0,2021-01-20 06:18:00,ETH/USD,1368.22,1369.1,1368.22,1369.1,45089.49
1,2021-01-20 06:17:00,ETH/USD,1371.89,1371.89,1371.89,1371.89,0.0
2,2021-01-20 06:16:00,ETH/USD,1369.72,1371.89,1369.72,1371.89,17336.32
3,2021-01-20 06:15:00,ETH/USD,1371.47,1371.79,1369.81,1369.81,44259.07
4,2021-01-20 06:14:00,ETH/USD,1369.74,1372.25,1369.74,1371.9,47348.82
5,2021-01-20 06:13:00,ETH/USD,1370.95,1370.95,1370.55,1370.63,56864.08
6,2021-01-20 06:12:00,ETH/USD,1373.0,1373.0,1370.0,1370.0,5722.49
7,2021-01-20 06:11:00,ETH/USD,1372.17,1375.0,1372.17,1375.0,72031.72
8,2021-01-20 06:10:00,ETH/USD,1371.97,1371.97,1371.97,1371.97,10411.88
9,2021-01-20 06:09:00,ETH/USD,1371.24,1373.65,1371.24,1373.65,17027.38
10,2021-01-20 06:08:00,ETH/USD,1370.71,1372.19,1370.02,1370.5,75745.97
11,2021-01-20 06:07:00,ETH/USD,1370.0,1370.08,1368.75,1370.08,12047.36
12,2021-01-20 06:06:00,ETH/USD,1369.64,1370.51,1369.64,1370.51,17303.39
13,2021-01-20 06:05:00,ETH/USD,1367.63,1369.67,1367.63,1369.67,31619.88
14,2021-01-20 06:04:00,ETH/USD,1366.0,1367.96,1366.0,1367.96,2365.76
15,2021-01-20 06:03:00,ETH/USD,1365.56,1365.98,1365.29,1365.98,126173.5
16,2021-01-20 06:02:00,ETH/USD,1365.63,1366.37,1365.31,1365.31,29718.2
17,2021-01-20 06:01:00,ETH/USD,1367.6,1367.91,1367.14,1367.14,5541.97
18,2021-01-20 06:00:00,ETH/USD,1367.65,1368.15,1365.84,1368.15,20881.0
19,2021-01-20 05:59:00,ETH/USD,1367.51,1369.57,1367.51,1367.89,393136.2
20,2021-01-20 05:58:00,ETH/USD,1366.14,1366.91,1366.14,1366.37,121551.45
21,2021-01-20 05:57:00,ETH/USD,1364.67,1366.37,1364.67,1366.37,67216.66
22,2021-01-20 05:56:00,ETH/USD,1362.22,1363.59,1362.22,1363.59,24416.6
23,2021-01-20 05:55:00,ETH/USD,1362.92,1363.32,1362.16,1362.58,67555.0
24,2021-01-20 05:54:00,ETH/USD,1358.1,1361.83,1358.1,1361.58,56766.8
25,2021-01-20 05:53:00,ETH/USD,1355.03,1355.14,1355.02,1355.14,20099.44
26,2021-01-20 05:52:00,ETH/USD,1357.54,1358.23,1355.9,1355.9,486269.13
27,2021-01-20 05:51:00,ETH/USD,1357.46,1357.46,1355.0,1357.17,858609.11
28,2021-01-20 05:50:00,ETH/USD,1356.06,1356.96,1355.0,1356.7,432024.98
29,2021-01-20 05:49:00,ETH/USD,1357.19,1357.19,1357.19,1357.19,0.0
30,2021-01-20 05:48:00,ETH/USD,1354.7,1357.21,1354.33,1357.19,36588.57
31,2021-01-20 05:47:00,ETH/USD,1356.17,1356.17,1354.24,1355.43,37540.94
32,2021-01-20 05:46:00,ETH/USD,1353.34,1356.0,1352.48,1356.0,221074.11
33,2021-01-20 05:45:00,ETH/USD,1358.62,1358.62,1352.17,1352.17,57617.56
34,2021-01-20 05:44:00,ETH/USD,1357.65,1359.33,1357.64,1359.33,16934.53
35,2021-01-20 05:43:00,ETH/USD,1360.4,1362.26,1357.4,1357.4,234649.07
36,2021-01-20 05:42:00,ETH/USD,1361.89,1361.89,1358.74,1359.27,27157.93
37,2021-01-20 05:41:00,ETH/USD,1363.41,1364.39,1362.19,1362.19,25056.18
38,2021-01-20 05:40:00,ETH/USD,1364.51,1366.22,1364.51,1366.22,18094.62
39,2021-01-20 05:39:00,ETH/USD,1364.27,1364.45,1363.69,1363.84,24297.44
40,2021-01-20 05:38:00,ETH/USD,1365.7,1366.05,1365.13,1365.13,109639.76
41,2021-01-20 05:37:00,ETH/USD,1364.93,1365.52,1364.7,1365.05,41874.78
42,2021-01-20 05:36:00,ETH/USD,1365.95,1365.95,1363.93,1365.13,51832.84
43,2021-01-20 05:35:00,ETH/USD,1369.46,1369.46,1367.0,1367.0,28733.63
44,2021-01-20 05:34:00,ETH/USD,1368.14,1368.63,1368.14,1368.63,119.17
45,2021-01-20 05:33:00,ETH/USD,1369.08,1369.08,1367.39,1367.76,47811.9
46,2021-01-20 05:32:00,ETH/USD,1368.98,1370.71,1368.98,1370.33,69776.68
47,2021-01-20 05:31:00,ETH/USD,1368.93,1369.61,1368.93,1369.02,119091.89
48,2021-01-20 05:30:00,ETH/USD,1370.31,1370.31,1369.52,1369.52,17798.33
49,2021-01-20 05:29:00,ETH/USD,1369.82,1370.55,1369.82,1370.35,151733.37
50,2021-01-20 05:28:00,ETH/USD,1369.61,1370.71,1369.56,1369.91,208254.28
51,2021-01-20 05:27:00,ETH/USD,1367.58,1369.27,1367.58,1369.27,46031.0
52,2021-01-20 05:26:00,ETH/USD,1367.23,1368.26,1367.17,1367.17,35174.0
53,2021-01-20 05:25:00,ETH/USD,1364.94,1367.82,1364.94,1367.82,19672.27
54,2021-01-20 05:24:00,ETH/USD,1361.86,1363.76,1361.86,1363.76,21427.54
55,2021-01-20 05:23:00,ETH/USD,1358.91,1360.03,1358.91,1359.95,34691.21
56,2021-01-20 05:22:00,ETH/USD,1358.83,1360.57,1358.83,1360.57,1719.14
57,2021-01-20 05:21:00,ETH/USD,1359.13,1361.18,1359.13,1361.18,13233.77
58,2021-01-20 05:20:00,ETH/USD,1360.7,1360.7,1358.11,1360.41,28574.2
59,2021-01-20 05:19:00,ETH/USD,1362.56,1362.56,1359.97,1359.97,21328.84
60,2021-01-20 05:18:00,ETH/USD,1361.87,1362.21,1361.29,1362.21,25974.26
61,2021-01-20 05:17:00,ETH/USD,1362.02,1362.02,1360.66,1360.67,89489.48
62,2021-01-20 05:16:00,ETH/USD,1360.19,1362.84,1360.19,1362.84,22359.46
63,2021-01-20 05:15:00,ETH/USD,1362.46,1362.46,1359.46,1359.46,23987.53
64,2021-01-20 05:14:00,ETH/USD,1361.65,1363.43,1360.68,1363.43,35684.12
65,2021-01-20 05:13:00,ETH/USD,1358.67,1360.78,1358.67,1360.78,46051.26
66,2021-01-20 05:12:00,ETH/USD,1361.91,1361.91,1358.88,1359.13,45287.28
67,2021-01-20 05:11:00,ETH/USD,1362.6,1363.06,1361.83,1363.06,30702.6
68,2021-01-20 05:10:00,ETH/USD,1364.44,1364.67,1362.76,1362.76,35227.99
69,2021-01-20 05:09:00,ETH/USD,1367.0,1367.0,1364.06,1364.31,78956.46
70,2021-01-20 05:08:00,ETH/USD,1366.69,1367.81,1366.69,1367.26,31661.92
71,2021-01-20 05:07:00,ETH/USD,1364.74,1368.42,1364.74,1366.38,150904.63
72,2021-01-20 05:06:00,ETH/USD,1365.11,1365.11,1363.92,1364.33,7148.13
73,2021-01-20 05:05:00,ETH/USD,1361.98,1364.85,1361.98,1364.79,40447.66
74,2021-01-20 05:04:00,ETH/USD,1363.06,1363.72,1361.94,1362.28,1746.67
75,2021-01-20 05:03:00,ETH/USD,1365.56,1365.56,1364.26,1364.26,4912.19
76,2021-01-20 05:02:00,ETH/USD,1360.31,1363.83,1360.31,1363.83,10002.35
77,2021-01-20 05:01:00,ETH/USD,1355.86,1360.18,1355.86,1360.18,12191.06
78,2021-01-20 05:00:00,ETH/USD,1356.98,1356.98,1355.65,1355.65,10932.38
79,2021-01-20 04:59:00,ETH/USD,1358.71,1358.71,1357.66,1357.66,77263.71
80,2021-01-20 04:58:00,ETH/USD,1359.45,1359.45,1358.92,1358.92,18909.31
81,2021-01-20 04:57:00,ETH/USD,1359.35,1359.35,1358.3,1358.3,30988.84
82,2021-01-20 04:56:00,ETH/USD,1358.3,1359.81,1358.3,1359.79,44735.68
83,2021-01-20 04:55:00,ETH/USD,1359.86,1359.86,1358.15,1358.15,14306.16
84,2021-01-20 04:54:00,ETH/USD,1359.87,1360.59,1359.22,1359.86,57887.71
85,2021-01-20 04:53:00,ETH/USD,1361.73,1361.73,1359.8,1359.9,10886.08
86,2021-01-20 04:52:00,ETH/USD,1361.77,1362.66,1360.75,1362.66,21489.82
87,2021-01-20 04:51:00,ETH/USD,1359.93,1359.93,1359.93,1359.93,34.55
88,2021-01-20 04:50:00,ETH/USD,1359.26,1362.36,1359.2,1361.57,69796.37
89,2021-01-20 04:49:00,ETH/USD,1356.01,1357.18,1356.01,1357.18,23073.17
90,2021-01-20 04:48:00,ETH/USD,1355.0,1355.0,1354.79,1354.79,1386.63
91,2021-01-20 04:47:00,ETH/USD,1352.64,1352.89,1351.25,1352.89,47495.52
92,2021-01-20 04:46:00,ETH/USD,1348.9,1353.85,1348.9,1353.85,143657.83
93,2021-01-20 04:45:00,ETH/USD,1349.66,1349.66,1348.7,1348.7,1075.94
94,2021-01-20 04:44:00,ETH/USD,1353.84,1353.84,1353.84,1353.84,398.03
95,2021-01-20 04:43:00,ETH/USD,1353.15,1353.26,1351.04,1351.42,11333.07
96,2021-01-20 04:42:00,ETH/USD,1353.97,1354.87,1353.97,1354.87,12311.26
97,2021-01-20 04:41:00,ETH/USD,1351.18,1351.64,1349.63,1351.64,26937.29
98,2021-01-20 04:40:00,ETH/USD,1353.12,1353.12,1349.9,1349.9,39715.16
99,2021-01-20 04:39:00,ETH/USD,1352.74,1352.74,1352.74,1352.74,1352.74
100,2021-01-20 04:38:00,ETH/USD,1355.61,1355.61,1353.46,1353.46,20079.36
101,2021-01-20 04:37:00,ETH/USD,1349.0,1354.1,1349.0,1352.89,34776.21
102,2021-01-20 04:36:00,ETH/USD,1350.46,1350.83,1350.46,1350.83,107.42
103,2021-01-20 04:35:00,ETH/USD,1350.0,1350.49,1347.15,1350.49,32656.75
104,2021-01-20 04:34:00,ETH/USD,1353.78,1353.78,1350.75,1350.75,19914.34
105,2021-01-20 04:33:00,ETH/USD,1351.01,1354.57,1351.01,1354.57,109287.16
106,2021-01-20 04:32:00,ETH/USD,1355.24,1355.24,1351.22,1351.63,11178.87
107,2021-01-20 04:31:00,ETH/USD,1356.74,1356.74,1354.0,1354.32,13386.29
108,2021-01-20 04:30:00,ETH/USD,1354.53,1357.06,1354.53,1356.83,127462.1
109,2021-01-20 04:29:00,ETH/USD,1356.07,1356.1,1353.82,1354.16,29806.55
110,2021-01-20 04:28:00,ETH/USD,1348.37,1350.1,1348.37,1350.1,8523.81
111,2021-01-20 04:27:00,ETH/USD,1348.06,1349.34,1345.41,1346.28,75763.96
112,2021-01-20 04:26:00,ETH/USD,1346.99,1347.05,1344.84,1345.94,35718.6
113,2021-01-20 04:25:00,ETH/USD,1346.36,1349.54,1345.13,1349.54,100919.68
