,unix,symbol,open,high,low,close,Volume USD
0,2021-01-20 06:18:00,LTC/USD,151.43,151.43,151.43,151.43,1995.94
1,2021-01-20 06:16:00,LTC/USD,151.71,151.76,151.71,151.76,11042.16
2,2021-01-20 06:15:00,LTC/USD,151.65,151.69,151.62,151.68,2388.13
3,2021-01-20 06:14:00,LTC/USD,151.63,151.88,151.63,151.81,18910.82
4,2021-01-20 06:13:00,LTC/USD,152.0,152.0,152.0,152.0,0.0
5,2021-01-20 06:12:00,LTC/USD,152.0,152.0,152.0,152.0,0.0
6,2021-01-20 06:11:00,LTC/USD,152.0,152.0,152.0,152.0,152.0
7,2021-01-20 06:10:00,LTC/USD,151.62,151.76,151.62,151.76,3968.51
8,2021-01-20 06:09:00,LTC/USD,151.51,151.51,151.51,151.51,0.0
9,2021-01-20 06:08:00,LTC/USD,151.51,151.51,151.51,151.51,0.0
10,2021-01-20 06:07:00,LTC/USD,151.56,151.66,151.33,151.51,14495.62
11,2021-01-20 06:06:00,LTC/USD,151.56,151.56,151.56,151.56,1001.05
12,2021-01-20 06:05:00,LTC/USD,150.73,150.73,150.73,150.73,0.0
13,2021-01-20 06:04:00,LTC/USD,150.73,150.73,150.73,150.73,0.0
14,2021-01-20 06:03:00,LTC/USD,150.73,150.73,150.73,150.73,0.0
15,2021-01-20 06:02:00,LTC/USD,150.72,150.73,150.72,150.73,2761.38
16,2021-01-20 06:01:00,LTC/USD,150.88,150.88,150.88,150.88,181.06
17,2021-01-20 06:00:00,LTC/USD,151.05,151.05,151.05,151.05,267.68
18,2021-01-20 05:59:00,LTC/USD,151.03,151.03,151.03,151.03,0.0
19,2021-01-20 05:58:00,LTC/USD,151.2,151.2,151.03,151.03,1510.22
20,2021-01-20 05:57:00,LTC/USD,151.05,151.05,151.05,151.05,79.88
21,2021-01-20 05:56:00,LTC/USD,150.74,150.74,150.74,150.74,96.9
22,2021-01-20 05:55:00,LTC/USD,150.86,150.86,150.78,150.78,1204.1
23,2021-01-20 05:54:00,LTC/USD,149.97,149.97,149.97,149.97,0.0
24,2021-01-20 05:53:00,LTC/USD,149.97,149.97,149.97,149.97,5684.04
25,2021-01-20 05:52:00,LTC/USD,150.42,150.42,150.25,150.25,353.28
26,2021-01-20 05:51:00,LTC/USD,150.11,150.11,150.11,150.11,2001.04
27,2021-01-20 05:50:00,LTC/USD,149.92,150.09,149.92,149.95,2141.09
28,2021-01-20 05:49:00,LTC/USD,150.07,150.07,150.07,150.07,0.0
29,2021-01-20 05:48:00,LTC/USD,149.8,150.07,149.8,150.07,3763.25
30,2021-01-20 05:47:00,LTC/USD,149.97,150.25,149.97,150.25,1170.69
31,2021-01-20 05:46:00,LTC/USD,150.18,150.26,150.17,150.26,3241.26
32,2021-01-20 05:45:00,LTC/USD,149.94,149.94,149.87,149.87,696.31
33,2021-01-20 05:44:00,LTC/USD,150.35,150.47,150.35,150.47,1550.65
34,2021-01-20 05:43:00,LTC/USD,150.57,150.7,150.31,150.31,31380.97
35,2021-01-20 05:42:00,LTC/USD,150.53,150.53,150.29,150.32,4816.52
36,2021-01-20 05:41:00,LTC/USD,151.15,151.15,150.8,150.82,7563.32
37,2021-01-20 05:40:00,LTC/USD,151.09,151.34,151.09,151.34,43890.49
38,2021-01-20 05:39:00,LTC/USD,151.09,151.09,151.09,151.09,199.89
39,2021-01-20 05:38:00,LTC/USD,151.1,151.25,151.1,151.25,1966.36
40,2021-01-20 05:37:00,LTC/USD,151.06,151.06,151.06,151.06,1001.38
41,2021-01-20 05:36:00,LTC/USD,150.94,151.23,150.94,151.23,10586.1
42,2021-01-20 05:35:00,LTC/USD,151.18,151.18,151.18,151.18,0.0
43,2021-01-20 05:34:00,LTC/USD,151.18,151.18,151.18,151.18,0.0
44,2021-01-20 05:33:00,LTC/USD,151.18,151.18,151.18,151.18,25.7
45,2021-01-20 05:32:00,LTC/USD,151.5,151.5,151.5,151.5,0.0
46,2021-01-20 05:31:00,LTC/USD,151.5,151.5,151.5,151.5,0.0
47,2021-01-20 05:30:00,LTC/USD,151.38,151.5,151.38,151.5,3273.61
48,2021-01-20 05:29:00,LTC/USD,151.15,151.15,151.15,151.15,0.0
49,2021-01-20 05:28:00,LTC/USD,151.43,151.43,151.15,151.15,831.32
50,2021-01-20 05:27:00,LTC/USD,151.54,151.62,151.54,151.62,1890.84
51,2021-01-20 05:26:00,LTC/USD,151.31,151.31,151.31,151.31,2476.3
52,2021-01-20 05:25:00,LTC/USD,150.96,150.96,150.96,150.96,1207.68
53,2021-01-20 05:24:00,LTC/USD,150.93,150.93,150.93,150.93,2563.05
54,2021-01-20 05:23:00,LTC/USD,150.75,150.75,150.75,150.75,153.79
55,2021-01-20 05:22:00,LTC/USD,150.57,150.57,150.57,150.57,0.0
56,2021-01-20 05:21:00,LTC/USD,150.47,150.57,150.47,150.57,1082.0
57,2021-01-20 05:20:00,LTC/USD,150.73,150.73,150.73,150.73,0.0
58,2021-01-20 05:19:00,LTC/USD,150.73,150.73,150.73,150.73,91.3
59,2021-01-20 05:18:00,LTC/USD,150.56,150.56,150.56,150.56,0.0
60,2021-01-20 05:17:00,LTC/USD,150.56,150.56,150.56,150.56,0.0
61,2021-01-20 05:16:00,LTC/USD,150.34,150.56,150.34,150.56,2358.57
62,2021-01-20 05:15:00,LTC/USD,150.75,150.75,150.4,150.4,10671.26
63,2021-01-20 05:14:00,LTC/USD,150.35,150.61,150.35,150.61,1078.52
64,2021-01-20 05:13:00,LTC/USD,150.23,150.4,150.23,150.4,14025.37
65,2021-01-20 05:12:00,LTC/USD,150.35,150.35,150.25,150.25,1116.06
66,2021-01-20 05:11:00,LTC/USD,150.64,150.64,150.64,150.64,1000.85
67,2021-01-20 05:10:00,LTC/USD,150.94,150.94,150.94,150.94,6463.25
68,2021-01-20 05:09:00,LTC/USD,150.85,150.91,150.72,150.91,17519.9
69,2021-01-20 05:08:00,LTC/USD,151.14,151.25,151.14,151.25,3513.54
70,2021-01-20 05:07:00,LTC/USD,150.82,151.18,150.82,151.18,9739.51
71,2021-01-20 05:06:00,LTC/USD,150.95,150.95,150.95,150.95,0.0
72,2021-01-20 05:05:00,LTC/USD,150.87,150.95,150.66,150.95,20265.69
73,2021-01-20 05:04:00,LTC/USD,150.94,150.95,150.85,150.85,4753.08
74,2021-01-20 05:03:00,LTC/USD,150.92,150.92,150.91,150.91,9996.84
75,2021-01-20 05:02:00,LTC/USD,151.2,151.2,151.2,151.2,178.87
76,2021-01-20 05:01:00,LTC/USD,150.23,150.49,150.14,150.49,6032.41
77,2021-01-20 05:00:00,LTC/USD,150.34,150.34,150.2,150.2,9550.6
78,2021-01-20 04:59:00,LTC/USD,150.36,150.42,150.36,150.42,3654.3
79,2021-01-20 04:58:00,LTC/USD,150.69,150.69,150.38,150.38,3694.18
80,2021-01-20 04:57:00,LTC/USD,150.42,150.61,150.42,150.61,4077.0
81,2021-01-20 04:56:00,LTC/USD,150.13,150.13,150.13,150.13,0.0
82,2021-01-20 04:55:00,LTC/USD,150.41,150.43,150.13,150.13,29224.46
83,2021-01-20 04:54:00,LTC/USD,150.68,150.68,150.49,150.52,2262.42
84,2021-01-20 04:53:00,LTC/USD,150.87,150.87,150.82,150.82,1882.9
85,2021-01-20 04:52:00,LTC/USD,150.75,150.75,150.75,150.75,0.0
86,2021-01-20 04:51:00,LTC/USD,150.75,150.75,150.75,150.75,603.0
87,2021-01-20 04:50:00,LTC/USD,150.24,150.24,150.24,150.24,0.0
88,2021-01-20 04:49:00,LTC/USD,150.24,150.24,150.24,150.24,1993.77
89,2021-01-20 04:48:00,LTC/USD,149.96,150.12,149.96,150.12,2057.13
90,2021-01-20 04:47:00,LTC/USD,149.84,149.94,149.84,149.94,3947.83
91,2021-01-20 04:46:00,LTC/USD,149.46,150.06,149.46,149.92,11952.21
92,2021-01-20 04:45:00,LTC/USD,149.78,149.78,149.41,149.49,22245.81
93,2021-01-20 04:44:00,LTC/USD,149.84,149.84,149.79,149.79,16475.04
94,2021-01-20 04:43:00,LTC/USD,149.71,149.88,149.71,149.85,14262.04
95,2021-01-20 04:42:00,LTC/USD,149.95,150.0,149.86,149.98,5497.32
96,2021-01-20 04:41:00,LTC/USD,149.83,150.02,149.75,150.02,28323.18
97,2021-01-20 04:40:00,LTC/USD,150.34,150.34,149.87,149.87,3403.21
98,2021-01-20 04:39:00,LTC/USD,150.41,150.41,150.34,150.34,2032.99
99,2021-01-20 04:38:00,LTC/USD,150.3,150.3,150.3,150.3,0.0
100,2021-01-20 04:37:00,LTC/USD,150.3,150.3,150.3,150.3,80.26
101,2021-01-20 04:36:00,LTC/USD,149.67,149.91,149.67,149.76,8092.73
102,2021-01-20 04:35:00,LTC/USD,149.76,149.76,149.62,149.62,112.36
103,2021-01-20 04:34:00,LTC/USD,150.34,150.34,150.0,150.0,4506.91
104,2021-01-20 04:33:00,LTC/USD,150.2,150.2,150.17,150.17,1235.9
105,2021-01-20 04:32:00,LTC/USD,150.53,150.62,150.01,150.01,12397.65
106,2021-01-20 04:31:00,LTC/USD,150.52,150.52,150.52,150.52,1997.1
107,2021-01-20 04:30:00,LTC/USD,150.29,150.29,150.29,150.29,0.0
108,2021-01-20 04:29:00,LTC/USD,150.58,150.58,150.29,150.29,10520.3
109,2021-01-20 04:28:00,LTC/USD,150.17,150.17,150.17,150.17,1000.73
110,2021-01-20 04:27:00,LTC/USD,150.04,150.04,150.04,150.04,0.0
111,2021-01-20 04:26:00,LTC/USD,150.05,150.05,150.04,150.04,3893.69
112,2021-01-20 04:25:00,LTC/USD,150.19,150.19,150.03,150.03,2044.13
113,2021-01-20 04:24:00,LTC/USD,150.48,150.48,150.19,150.19,917.06
114,2021-01-20 04:23:00,LTC/USD,150.05,150.05,150.05,150.05,1994.87
115,2021-01-20 04:22:00,LTC/USD,150.56,150.56,150.56,150.56,980.76
116,2021-01-20 04:21:00,LTC/USD,150.62,150.62,150.62,150.62,25.25
117,2021-01-20 04:20:00,LTC/USD,150.47,150.47,150.47,150.47,41.17
118,2021-01-20 04:19:00,LTC/USD,150.2,150.2,150.2,150.2,2486.76
119,2021-01-20 04:18:00,LTC/USD,150.31,150.31,149.69,149.98,6736.1
120,2021-01-20 04:17:00,LTC/USD,148.87,150.03,148.87,150.03,25238.4
121,2021-01-20 04:16:00,LTC/USD,148.12,148.7,147.7,148.66,41580.19
122,2021-01-20 04:15:00,LTC/USD,149.3,149.3,148.28,148.55,2470.07
123,2021-01-20 04:14:00,LTC/USD,150.05,150.07,149.18,149.18,3621.58
124,2021-01-20 04:13:00,LTC/USD,150.05,150.06,149.86,149.86,3018.86
125,2021-01-20 04:12:00,LTC/USD,150.1,150.1,150.1,150.1,1000.87
126,2021-01-20 04:11:00,LTC/USD,150.17,150.2,149.91,149.91,3274.87
127,2021-01-20 04:10:00,LTC/USD,150.05,150.47,150.05,150.26,2695.55
128,2021-01-20 04:09:00,LTC/USD,149.01,149.52,149.01,149.52,201.1
129,2021-01-20 04:08:00,LTC/USD,149.08,149.08,148.63,148.63,2096.87
130,2021-01-20 04:07:00,LTC/USD,149.32,149.32,149.01,149.27,7098.37
131,2021-01-20 04:06:00,LTC/USD,149.36,149.71,149.36,149.47,14741.11
132,2021-01-20 04:05:00,LTC/USD,148.72,148.72,148.72,148.72,1386.57
133,2021-01-20 04:04:00,LTC/USD,148.67,148.97,148.67,148.97,575.32
134,2021-01-20 04:03:00,LTC/USD,148.65,148.81,148.33,148.33,3040.02
135,2021-01-20 04:02:00,LTC/USD,148.57,148.58,148.52,148.52,15110.13
136,2021-01-20 04:01:00,LTC/USD,148.11,148.37,147.97,148.36,25498.92
137,2021-01-20 04:00:00,LTC/USD,148.33,148.33,147.62,148.1,61927.54
138,2021-01-20 03:59:00,LTC/USD,148.01,148.7,148.0,148.41,46241.18
139,2021-01-20 03:58:00,LTC/USD,148.43,148.43,148.0,148.08,16316.96
140,2021-01-20 03:57:00,LTC/USD,149.5,149.5,148.35,148.35,56850.22
141,2021-01-20 03:56:00,LTC/USD,149.83,149.83,149.83,149.83,0.0
142,2021-01-20 03:55:00,LTC/USD,149.64,149.87,149.64,149.83,15075.25
143,2021-01-20 03:54:00,LTC/USD,149.74,149.74,149.7,149.71,15869.26
144,2021-01-20 03:53:00,LTC/USD,149.82,150.0,149.82,150.0,1594.65
145,2021-01-20 03:52:00,LTC/USD,149.36,149.87,149.36,149.72,15409.48
146,2021-01-20 03:51:00,LTC/USD,149.7,149.78,149.7,149.78,4402.48
147,2021-01-20 03:50:00,LTC/USD,150.03,150.03,150.03,150.03,59.26
148,2021-01-20 03:49:00,LTC/USD,150.65,150.65,150.39,150.39,12482.37
149,2021-01-20 03:48:00,LTC/USD,150.39,150.47,150.39,150.47,13692.77
150,2021-01-20 03:47:00,LTC/USD,150.18,150.19,150.18,150.19,7960.07
151,2021-01-20 03:46:00,LTC/USD,149.69,150.11,149.69,150.11,6260.75
152,2021-01-20 03:45:00,LTC/USD,149.85,149.85,149.85,149.85,59.04
153,2021-01-20 03:44:00,LTC/USD,150.52,150.52,150.29,150.29,10598.33
154,2021-01-20 03:43:00,LTC/USD,149.94,150.51,149.94,150.51,18505.42
155,2021-01-20 03:42:00,LTC/USD,149.52,149.94,149.52,149.94,13344.23
156,2021-01-20 03:41:00,LTC/USD,149.42,149.56,149.08,149.56,49737.63
157,2021-01-20 03:40:00,LTC/USD,150.2,150.22,149.28,149.39,33500.13
158,2021-01-20 03:39:00,LTC/USD,150.01,150.24,150.01,150.04,24995.16
159,2021-01-20 03:38:00,LTC/USD,149.7,149.86,149.48,149.86,12222.0
160,2021-01-20 03:37:00,LTC/USD,149.6,149.71,149.29,149.69,42229.93
161,2021-01-20 03:36:00,LTC/USD,150.17,150.36,149.73,149.73,13742.27
162,2021-01-20 03:35:00,LTC/USD,150.11,150.24,150.11,150.24,3305.28
163,2021-01-20 03:34:00,LTC/USD,150.03,150.03,149.83,149.87,48325.31
164,2021-01-20 03:33:00,LTC/USD,150.5,150.68,150.2,150.2,2538.21
165,2021-01-20 03:32:00,LTC/USD,150.59,150.59,150.51,150.51,375.52
166,2021-01-20 03:31:00,LTC/USD,150.94,151.4,150.94,151.4,5694.15
167,2021-01-20 03:30:00,LTC/USD,151.04,151.04,150.65,150.84,5855.48
168,2021-01-20 03:29:00,LTC/USD,151.25,151.25,150.92,150.97,73310.29
169,2021-01-20 03:28:00,LTC/USD,151.72,151.72,151.72,151.72,0.0
170,2021-01-20 03:27:00,LTC/USD,151.72,151.72,151.72,151.72,1000.75
171,2021-01-20 03:26:00,LTC/USD,152.15,152.15,152.15,152.15,0.0
172,2021-01-20 03:25:00,LTC/USD,151.46,152.15,151.46,152.15,467.38
