,test_date,asset,strategy,strat_params,start_date,end_date,sample_length,total_open,total_closed,total_won,total_lost,win_streak,lose_streak,pnl_net,pct_change,strike_rate,sqn,sharpe_ratio
0,2021-01-20 19:30:29,BTCUSD,.GoldenCross3,"{'fast': 13, 'slow': 20, 'risk': 0.2}",2017-08-18,2018-08-18,365 days,1,44,6,38,1,12,-378.76,-3.79,13.64,-0.9,0.0
0,2021-01-20 19:30:29,BTCUSD,.GoldenCross3,"{'fast': 13, 'slow': 21, 'risk': 0.2}",2017-08-18,2018-08-18,365 days 00:00:00,1,42,6,36,2,13,-353.91,-3.54,14.29,-0.82,0.0
0,2021-01-20 19:30:29,BTCUSD,.GoldenCross3,"{'fast': 13, 'slow': 22, 'risk': 0.2}",2017-08-18,2018-08-18,365 days 00:00:00,1,43,6,37,2,12,-379.64,-3.8,13.95,-0.89,0.0
0,2021-01-20 19:30:29,BTCUSD,.GoldenCross3,"{'fast': 13, 'slow': 23, 'risk': 0.2}",2017-08-18,2018-08-18,365 days 00:00:00,1,40,6,34,2,12,-362.16,-3.62,15.0,-0.84,0.0
0,2021-01-20 19:30:29,BTCUSD,.GoldenCross3,"{'fast': 13, 'slow': 24, 'risk': 0.2}",2017-08-18,2018-08-18,365 days 00:00:00,1,36,6,30,2,11,-322.53,-3.23,16.67,-0.76,0.0
0,2021-01-22 17:27:31,BTCUSD,_strat.Aroon,<backtrader.metabase.AutoInfoClass_LineRoot_LineMultiple_LineSeries_LineIterator_DataAccessor_StrategyBase_Strategy_Aroon object at 0x0000028EEFFDF850>,2017-08-18,2018-08-18,365 days 00:00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,2021-01-22 17:32:18,BTCUSD,_strat.Aroon,<backtrader.metabase.AutoInfoClass_LineRoot_LineMultiple_LineSeries_LineIterator_DataAccessor_StrategyBase_Strategy_Aroon object at 0x0000028EF1006910>,2017-08-18,2018-08-18,365 days 00:00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,2021-01-22 17:32:45,BTCUSD,_strat.Aroon,<backtrader.metabase.AutoInfoClass_LineRoot_LineMultiple_LineSeries_LineIterator_DataAccessor_StrategyBase_Strategy_Aroon object at 0x0000028EF103E730>,2017-08-18,2018-08-18,365 days 00:00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,2021-01-22 17:32:55,BTCUSD,_strat.Aroon,<backtrader.metabase.AutoInfoClass_LineRoot_LineMultiple_LineSeries_LineIterator_DataAccessor_StrategyBase_Strategy_Aroon object at 0x0000028EF1064550>,2017-08-18,2018-08-18,365 days 00:00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,2021-01-22 17:33:07,BTCUSD,_strat.Aroon,<backtrader.metabase.AutoInfoClass_LineRoot_LineMultiple_LineSeries_LineIterator_DataAccessor_StrategyBase_Strategy_Aroon object at 0x0000028EF10873A0>,2017-08-18,2018-08-18,365 days 00:00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,2021-01-22 17:37:20,BTCUSD,_strat.Aroon,<backtrader.metabase.AutoInfoClass_LineRoot_LineMultiple_LineSeries_LineIterator_DataAccessor_StrategyBase_Strategy_Aroon object at 0x0000022B1D18F850>,2017-08-18,2018-08-18,365 days 00:00:00,0,5,1,4,1,4,-203.51,-2.04,20.0,-2.63,0.0
0,2021-01-22 17:41:36,BTCUSD,_strat.Aroon,<backtrader.metabase.AutoInfoClass_LineRoot_LineMultiple_LineSeries_LineIterator_DataAccessor_StrategyBase_Strategy_Aroon object at 0x0000022B1E1B7A60>,2017-08-18,2018-08-18,365 days 00:00:00,0,5,1,4,1,4,-203.51,-2.04,20.0,-2.63,0.0
0,2021-01-22 17:41:59,BTCUSD,_strat.Aroon,<backtrader.metabase.AutoInfoClass_LineRoot_LineMultiple_LineSeries_LineIterator_DataAccessor_StrategyBase_Strategy_Aroon object at 0x000002296AC8B940>,2017-08-18,2018-08-18,365 days 00:00:00,0,5,1,4,1,4,-203.51,-2.04,20.0,-2.63,0.0
0,2021-01-22 17:43:29,BTCUSD,_strat.Aroon,<backtrader.metabase.AutoInfoClass_LineRoot_LineMultiple_LineSeries_LineIterator_DataAccessor_StrategyBase_Strategy_Aroon object at 0x000001306F6A3AF0>,2017-08-18,2018-08-18,365 days 00:00:00,0,5,1,4,1,4,-203.51,-2.04,20.0,-2.63,0.0
0,2021-01-22 18:16:57,BTCUSD,_strat.Aroon,<backtrader.metabase.AutoInfoClass_LineRoot_LineMultiple_LineSeries_LineIterator_DataAccessor_StrategyBase_Strategy_Aroon object at 0x000001306F52AE50>,2017-08-18,2018-08-18,365 days 00:00:00,0,5,1,4,1,4,-203.51,-2.04,20.0,-2.63,0.0
0,2021-01-22 18:46:45,BTCUSD,_strat.Aroon,"[('kijun_sen', 26), ('aroon', 14), ('rsi', 10), ('atr', 10), ('atr_ma', 10), ('exit_ema', 14), ('stoploss_atr', 1.6), ('take_profit', 3.2), ('cashout_ratio', 0.5), ('risk', 0.2)]",2017-08-18,2018-08-18,365 days 00:00:00,0,4,1,3,1,3,-172.52,-1.73,25.0,-2.25,0.0
0,2021-01-22 19:04:21,BTCUSD,_strat.Aroon,"[('kijun_sen', 26), ('aroon', 14), ('rsi', 10), ('atr', 10), ('atr_ma', 10), ('exit_ema', 14), ('stoploss_atr', 1.6), ('take_profit', 3.2), ('cashout_ratio', 0.5), ('risk', 0.2)]",2019-08-18,2020-08-18,366 days 00:00:00,0,15,1,14,1,13,-241.58,-2.42,6.67,-3.74,-16.49
0,2021-01-22 20:14:10,BTCUSD,_strat.Aroon,"[('kijun_sen', 26), ('aroon', 14), ('rsi', 10), ('atr', 10), ('atr_ma', 10), ('exit_ema', 14), ('stoploss_atr', 1.6), ('take_profit', 3.2), ('cashout_ratio', 0.5), ('risk', 0.2)]",2020-01-18,2020-08-18,213 days 00:00:00,0,125,20,105,2,25,-365.45,-3.65,16.0,-1.57,0.0
0,2021-01-23 11:44:21,BTCUSD,_strat.Aroon,"[('kijun_sen', 26), ('aroon', 14), ('rsi', 10), ('atr', 10), ('atr_ma', 10), ('exit_ema', 14), ('stoploss_atr', 1.6), ('take_profit', 3.2), ('cashout_ratio', 0.5), ('risk', 0.2)]",2020-01-18,2020-02-18,31 days 00:00:00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
